Dia,Susceptibles,Infectados,Recuperados,NuevosContagios,R0Efectivo
266,825337,16457,158206,1357,0.0828
267,823958,16515,159527,1379,0.0838
268,822666,16549,160785,1292,0.0782
269,821342,16615,162043,1324,0.0800
270,820048,16551,163401,1294,0.0779
271,818714,16571,164715,1334,0.0806
272,817399,16624,165977,1315,0.0794
273,816085,16597,167318,1314,0.0790
274,814760,16543,168697,1325,0.0798
275,813452,16480,170068,1308,0.0791
276,812106,16499,171395,1346,0.0817
277,810793,16499,172708,1313,0.0796
278,809405,16609,173986,1388,0.0841
279,808035,16686,175279,1370,0.0825
280,806644,16678,176678,1391,0.0834
281,805263,16716,178021,1381,0.0828
282,803857,16775,179368,1406,0.0841
283,802478,16763,180759,1379,0.0822
284,801092,16743,182165,1386,0.0827
285,799820,16646,183534,1272,0.0760
286,798504,16577,184919,1316,0.0791
287,797066,16674,186260,1438,0.0867
288,795650,16730,187620,1416,0.0849
289,794285,16707,189008,1365,0.0816
290,792929,16711,190360,1356,0.0812
291,791518,16794,191688,1411,0.0844
292,790068,16854,193078,1450,0.0863
293,788654,16885,194461,1414,0.0839
294,787249,16922,195829,1405,0.0832
295,785817,17080,197103,1432,0.0846
296,784355,17138,198507,1462,0.0856
297,782883,17263,199854,1472,0.0859
298,781427,17323,201250,1456,0.0843
299,779967,17392,202641,1460,0.0843
300,778473,17477,204050,1494,0.0859
301,776975,17555,205470,1498,0.0857
302,775508,17608,206884,1467,0.0836
303,774034,17717,208249,1474,0.0837
304,772539,17820,209641,1495,0.0844
305,770993,18001,211006,1546,0.0868
306,769481,18084,212435,1512,0.0840
307,767959,18179,213862,1522,0.0842
308,766425,18263,215312,1534,0.0844
309,764873,18377,216750,1552,0.0850
310,763318,18467,218215,1555,0.0846
311,761730,18593,219677,1588,0.0860
312,760166,18665,221169,1564,0.0841
313,758607,18756,222637,1559,0.0835
314,757104,18823,224073,1503,0.0801
315,755533,18952,225515,1571,0.0835
316,753955,19028,227017,1578,0.0833
317,752360,19188,228452,1595,0.0838
318,750806,19146,230048,1554,0.0810
319,749264,19200,231536,1542,0.0805
320,747739,19215,233046,1525,0.0794
321,746160,19246,234594,1579,0.0822
322,744609,19331,236060,1551,0.0806
323,743031,19294,237675,1578,0.0816
324,741443,19343,239214,1588,0.0823
325,739897,19338,240765,1546,0.0799
326,738312,19362,242326,1585,0.0820
327,736756,19343,243901,1556,0.0804
328,735205,19369,245426,1551,0.0802
329,733686,19336,246978,1519,0.0784
330,732140,19309,248551,1546,0.0800
331,730612,19220,250168,1528,0.0791
332,729112,19177,251711,1500,0.0780
333,727621,19086,253293,1491,0.0777
334,726098,19110,254792,1523,0.0798
335,724575,19036,256389,1523,0.0797
336,723100,18966,257934,1475,0.0775
337,721490,19077,259433,1610,0.0849
338,719969,19083,260948,1521,0.0797
339,718492,19065,262443,1477,0.0774
340,716995,19050,263955,1497,0.0785
341,715520,18960,265520,1475,0.0774
342,714013,19033,266954,1507,0.0795
343,712482,18970,268548,1531,0.0804
344,710987,18989,270024,1495,0.0788
345,709554,18888,271558,1433,0.0755
346,708101,18820,273079,1453,0.0769
347,706561,18928,274511,1540,0.0818
348,705062,18907,276031,1499,0.0792
349,703606,18868,277526,1456,0.0770
350,702124,18817,279059,1482,0.0785
351,700582,18904,280514,1542,0.0819
352,698960,19028,282012,1622,0.0858
353,697395,19036,283569,1565,0.0822
354,695876,19018,285106,1519,0.0798
355,694260,19045,286695,1616,0.0850
356,692636,19138,288226,1624,0.0853
357,691108,19123,289769,1528,0.0798
358,689531,19098,291371,1577,0.0825
359,687996,19081,292923,1535,0.0804
360,686407,19127,294466,1589,0.0833
361,684840,19166,295994,1567,0.0819
362,683294,19119,297587,1546,0.0807
363,681736,19205,299059,1558,0.0815
364,680235,19157,300608,1501,0.0782
365,678680,19180,302140,1555,0.0812
